reviewer_name,reviewer_rating,reviewer_date,language,reviewer_review,reviewer_ContributorLevel,reviewer_HelpfulVotes,SentimentScore,KeyPhrases
Bryan Z,ui_bubble_rating bubble_50,Date of experience: July 2018,en,"It was ""28 years ago"" when I was there so don't pay attention to the date of this review. This place is absolutely beautiful. magnificent. right out of a storybook. You won't believe it even when you see it. If I had a billion dollars, I'd build one here for everyone to come and see. And the nearby town, Fussen, is classic Bavaria. The hotel I stayed in is probably about as old as the castle. Awesome!",Level 3 Contributor,2 Helpful votes,0.8645093441,"Fussen, nearby town, classic Bavaria, attention, date, review, place, castle, years, storybook, dollars, hotel"
JeepGalLAS,ui_bubble_rating bubble_20,Date of experience: April 2019,en,"The castle is beautiful, but there are hundreds and hundreds of steps up and down small turrets. The steps are very steep and not even. If you are a little slower with knee problems, you may want to think twice about this tour. (No photos, because they don’t allow you to do so.)",Level 3 Contributor,2 Helpful votes,0.0170502961,"hundreds of steps, knee problems, small turrets, castle, tour, photos"
sailorgill7511,ui_bubble_rating bubble_50,Date of experience: April 2019,en,You have to do this schlos. Great!!! Way up is long... but the Views amd rhe building is marvelous. We would do this again. Buy tickets i the shop center/ ticket corner,Level 3 Contributor,2 Helpful votes,0.8029977679,"shop center, Views amd rhe building, ticket corner, tickets, schlos, Way"
Love2TravelAlabama,ui_bubble_rating bubble_40,Date of experience: March 2019,en,"We visited on a slightly snowy day and the castle was beautiful. The climb was steeper than some of my group expected, and one with asthma was unable to cope with it. She was able to recover in a little cafe while the others toured. Inside was lovely but renovation is underway which detracts from the overall experience.",Level 6 Contributor,38 Helpful votes,0.1634612381,"snowy day, castle, asthma, group, little cafe, renovation, overall experience, climb"
WWWong39,ui_bubble_rating bubble_50,Date of experience: September 2018,en,"My husband and I stayed at Hotel Müller, Hohenschwangau. It is part of the 3-day Romantic Road Independent Tour from Frankfurt to Munich. The hotel staff arranged two ticket for us. You could either walk (20 minutes), rode a bus or rode a horse drawn carriage. We choose to walk so as to admire the scenery. The castle is an unfinished castle by the mad King Ludwig II. I doubt it will ever been finished as the cost of upkeep was already huge. I enjoyed the 20 minutes guided tour, particularly the cave in the castle. Unfortunately we were not allowed to take photos inside the castle. Besides the castle, if you have time, there are plenty of walks you can do. There was a lake at the bottom of the hill.",Level 4 Contributor,1 Helpful vote,0.1464991271,"unfinished castle, minutes guided tour, Hotel Müller, hotel staff, day Romantic Road Independent Tour, Frankfurt, Munich, mad King Ludwig, cave, bus, cost of upkeep, horse, carriage, ticket, husband, Hohenschwangau, lake, hill, photos, time, scenery"
Camellya_R,ui_bubble_rating bubble_50,Date of experience: April 2018,en,"This is a must to see, the fairy tale castle in Bavaria.. After a nice walk up on the mountain you will meet this majestic ""schloss""",Level 1 Contributor,1 Helpful vote,0.9654769301,"mountain, fairy tale castle, Bavaria, nice walk, schloss"
Mary S,ui_bubble_rating bubble_20,Date of experience: March 2019,en,"Schloss Neuschwanstein is set in breathtaking scenery, it's a pity the experience did not live up to it. The groups were too big. The tour was only for 20 minutes, if that. There was no opportunity to stop and look. We acknowledge that restoration work needs to be done but we saw perhaps 20% of the castle. Compared to other castles we have visited this was poor.",Level 1 Contributor,1 Helpful vote,0.0831387639,"breathtaking scenery, pity, Schloss Neuschwanstein, experience, groups, tour, minutes, restoration work, castles, opportunity"
34ruxandrat,ui_bubble_rating bubble_40,Date of experience: March 2019,en,The surroundings are very beautiful and Neuschwanstein Castle is worth a visit if you are in the area. The castle itself is very pretty but the paid tour is too expensive for what it offers. Bare in mind it is a big tourist attraction and it is therefore very busy.,Level 3 Contributor,2 Helpful votes,0.2485758662,"Neuschwanstein Castle, big tourist attraction, mind, visit, surroundings, paid tour, area"
thejk2019,ui_bubble_rating bubble_50,Date of experience: March 2019,en,"Neuschwanstein is one of the mist famous tourist attractions in Bavaria, so don't forget to reserve your ticket online. Reserved tickets have to be picked up in time! King Ludwig the 2nd is called the king of farytales for a reason. Growing up in castle Hohenschwangau (formerly castle Schwanstein) the king looked at the old remains opposite his windows and dreamed about his castle, which he then built. Until today Neuschwanstein has never been finished. After the tour you can see a virtual projection of how the castle should have looked like. To understand Neuschwanstein it is recommended to visit Hohenschwangau first.
Access for handy capped and elderly people is difficult as you have to walk long ways, even from the bus stop. Dress according to the weather, there can be snow even in March as you can se4 on the picture.",Level 3 Contributor,3 Helpful votes,0.5,"castle Hohenschwangau, Neuschwanstein, king of farytales, King Ludwig, elderly people, mist famous tourist attractions, Bavaria, Access, virtual projection, ways, bus stop, reason, windows, Reserved tickets, Dress, weather, se4, picture, time"
BetsyBtravelin,ui_bubble_rating bubble_40,Date of experience: March 2019,en,"Neuschwanstein and Hohenschwangau are within walking distance of each other and tours are by timed ticket. Our hotel (Das Konig Ludwig) arranged the tickets for us in advance so we were able to get them at the centrally located ticket center. I had searched for private or small group tours but there is no such thing - you are assigned the tour time in your language and can go through the turnstile only at that time (in Neuschwanstein you hold individual audioguides that help you hear the tour guide more easily). Each castle provides about a half hour tour, so you have to move through the rooms fairly quickly. While this avoids logjams it does not give you time to linger and view any room you particularly like. That said, the rooms have spectacular artwork and the story of Ludwig II is an interesting one. There are really beautiful views of the countryside along the way as well. We were there in the off season so it was somewhat crowded but manageable; my understanding from German tour guides is that it can be a madhouse in the busy season. Because we were staying at a lovely, relaxing hotel just 10 minutes away, it was a nice way to spend the day and see these postcard palaces. The parking was near the ticket center and was 6 euros for the day.",Level 4 Contributor,29 Helpful votes,0.870723784,"tour time, German tour guides, half hour tour, Neuschwanstein, day, located ticket center, timed ticket, rooms, story of Ludwig, Konig Ludwig, relaxing hotel, nice way, busy season, small group tours, understanding, minutes, spectacular artwork, walking distance, countryside, tickets, Hohenschwangau, castle, individual audioguides, language, euros, beautiful views, advance, madhouse, postcard palaces, turnstile, parking, thing, logjams"
Tomoko A,ui_bubble_rating bubble_30,Date of experience: March 2019,en,"Worth visiting place at least once in the life. Everything was very well organized to deal with a number of tourists. But from the tourists' side, there were some complaints. The explanation in the castle was rather monotonous. We couldn't stay each places as long as we wanted. Taking photo was prohibited, Walking up to and down from the castle was no problem personally. In total, however, visiting museums in Munich gave me much more intellectual satisfaction.",Level 1 Contributor,,0.8468241096,"castle, Munich, museums, intellectual satisfaction, explanation, number of tourists, ""tourists"", complaints, Worth, life, total, problem, places, photo"
pfiffikus2018,ui_bubble_rating bubble_50,Date of experience: March 2019,en,"Great place to visit! A must see!
Nevertheless it is better to plan your trip in advance. It can be a very crowded place.
If you get your ticket in advance and be there in time you will have a fantastic day.
It is a very impressive castle and really worth to visit!",Level 3 Contributor,7 Helpful votes,0.9867277741,"advance, Great place, crowded place, time, impressive castle, fantastic day, trip, ticket"
Denise0510,ui_bubble_rating bubble_50,Date of experience: April 2018,en,"It is not so much as the castle itself, exquisite as it is, but the location! Believe me. All the pictures you see while deciding if it is worth a visit are not photoshoped! lol",Level 4 Contributor,10 Helpful votes,0.9368898869,"castle, location, pictures, visit"
tonyav124,ui_bubble_rating bubble_40,Date of experience: March 2019,en,"This is the top site in Germany so be prepared for crowds. If you are not going as a tour group I recommend getting your tickets early and being on time at the gate! You have 4 min. To enter with your group and then your ticket is no longer valid. No refunds. It is a large group 5 min. Behind another large group. Only a few rooms in the castle are actually finished so the tour is short and you are herded through with not much time to take it all in. Which is a bit disappointing because there is soooo much. As part of a tour group we had to rush back to the bus after to catch the train. Just looking around would have been nice and being able to go to Marienbrucke. If I was doing it again, I would stay somewhere close. Probably Füssen or even right under the castle are places with guest rooms. (And awesome donuts!!) that way I could do the tour and then take my time around and see Hohenschwangau as well.",Level 6 Contributor,36 Helpful votes,0.2539560795,"tour group, large group, time, castle, guest rooms, places, tickets, Germany, soooo, train, bus, awesome donuts, Marienbrucke, site, crowds, Hohenschwangau, gate, way, refunds"
