"reviewer_name","reviewer_rating","reviewer_date","reviewer_review","reviewer_ContributorLevel","reviewer_HelpfulVotes"
"WWWong39","ui_bubble_rating bubble_50","Date of experience: September 2018","My husband and I stayed at Hotel Müller, Hohenschwangau. It is part of the 3-day Romantic Road Independent Tour from Frankfurt to Munich. The hotel staff arranged two ticket for us. You could either walk (20 minutes), rode a bus or rode a horse drawn...More","Level 4 Contributor","1 Helpful vote"
"Camellya_R","ui_bubble_rating bubble_50","Date of experience: April 2018","This is a must to see, the fairy tale castle in Bavaria.. After a nice walk up on the mountain you will meet this majestic ""schloss""","Level 1 Contributor","1 Helpful vote"
"Mary S","ui_bubble_rating bubble_20","Date of experience: March 2019","Schloss Neuschwanstein is set in breathtaking scenery, it's a pity the experience did not live up to it. The groups were too big. The tour was only for 20 minutes, if that. There was no opportunity to stop and look. We acknowledge that restoration work...More","Level 1 Contributor","1 Helpful vote"
"34ruxandrat","ui_bubble_rating bubble_40","Date of experience: March 2019","The surroundings are very beautiful and Neuschwanstein Castle is worth a visit if you are in the area. The castle itself is very pretty but the paid tour is too expensive for what it offers. Bare in mind it is a big tourist attraction and...More","Level 3 Contributor","1 Helpful vote"
"thejk2019","ui_bubble_rating bubble_50","Date of experience: March 2019","Neuschwanstein is one of the mist famous tourist attractions in Bavaria, so don't forget to reserve your ticket online. Reserved tickets have to be picked up in time! King Ludwig the 2nd is called the king of farytales for a reason. Growing up in castle...More","Level 3 Contributor","2 Helpful votes"
"BetsyBtravelin","ui_bubble_rating bubble_40","Date of experience: March 2019","Neuschwanstein and Hohenschwangau are within walking distance of each other and tours are by timed ticket. Our hotel (Das Konig Ludwig) arranged the tickets for us in advance so we were able to get them at the centrally located ticket center. I had searched for...More","Level 4 Contributor","28 Helpful votes"
"Tomoko A","ui_bubble_rating bubble_30","Date of experience: March 2019","Worth visiting place at least once in the life. Everything was very well organized to deal with a number of tourists. But from the tourists' side, there were some complaints. The explanation in the castle was rather monotonous. We couldn't stay each places as long...More","Level 1 Contributor","28 Helpful votes"
"pfiffikus2018","ui_bubble_rating bubble_50","Date of experience: March 2019","Great place to visit! A must see! Nevertheless it is better to plan your trip in advance. It can be a very crowded place. If you get your ticket in advance and be there in time you will have a fantastic day. It is a...More","Level 3 Contributor","7 Helpful votes"
"Denise0510","ui_bubble_rating bubble_50","Date of experience: April 2018","It is not so much as the castle itself, exquisite as it is, but the location! Believe me. All the pictures you see while deciding if it is worth a visit are not photoshoped! lol","Level 4 Contributor","10 Helpful votes"
"tonyav124","ui_bubble_rating bubble_40","Date of experience: March 2019","This is the top site in Germany so be prepared for crowds. If you are not going as a tour group I recommend getting your tickets early and being on time at the gate! You have 4 min. To enter with your group and then...More","Level 6 Contributor","34 Helpful votes"
"RitaL23","ui_bubble_rating bubble_10","Date of experience: March 2019","First of all, ticket system is way too complicated, nothing for a spontaneous trip. Prices are too expensive for what we could see, since most of the castle was covered in construction, only one tour to be visited. All tour guides are absolutely unfriendly, they...More","Level 4 Contributor","4 Helpful votes"
"TuristaFeliceAM","ui_bubble_rating bubble_30","Date of experience: March 2019","The castle itself didn't meet my expectations. Visited in March and despite cold weather there were crowds of tourists. We walked towards the castle and it was a pleasant walk - fresh air, little streams falling from the mountains. But castle was somehow pale and...More","Level 6 Contributor","60 Helpful votes"
"Dogdreamer","ui_bubble_rating bubble_40","Date of experience: February 2019","this was our third stop for the day and tour was sold out by the time we got there which was early afternoon 3?? We walked to the entrance anyway, which was covered with scaffolding for restoration. This is an extremely tourist stop so not...More","Level 4 Contributor","10 Helpful votes"
"Donsurfandski","ui_bubble_rating bubble_50","Date of experience: March 2019","Just spent a fantastic day visiting the Neuschwanstein Castle. Despite heavy snow and winds, the trip was sensational thanks to our great tour guide Dani. Her knowledge about the history of the castle and her fantastic attitude made the trip one of the highlights of...More","Level 3 Contributor","15 Helpful votes"
"JoScotch","ui_bubble_rating bubble_30","Date of experience: March 2019","Visited with 2 friends in March. You can walk up to the castle for free, I wouldn’t bother with any tours. There were far too many people on the guided tour and we were rushed around and given no time to look around (this would...More","Level 4 Contributor","32 Helpful votes"
"chrislioo","ui_bubble_rating bubble_50","Date of experience: July 2018","Although you cannot take pictures inside the castle, it is definitely one of the better castles in Europe that I would recommend people to take the effort and see. The King of Bavaria Ludwig II was an avid fan of Wagner's works which can be...More","Level 5 Contributor","18 Helpful votes"
"BagmanNZ","ui_bubble_rating bubble_50","Date of experience: October 2018","I came here on a tour on an atrociously wet day. With it being a tour we walked up to the castle. If I was here by myself in similar conditions I'm not sure I'd do that again. Horse and cart would do just fine....More","Level 6 Contributor","273 Helpful votes"
"AmyC201529","ui_bubble_rating bubble_40","Date of experience: March 2019","This was one of my favorite things we visited! It is beautiful against the Bavarian scenery and everywhere you look beautiful views! It is a lot of walking and there is very limited handicap accessibility to get there and once inside the castle. We did...More","Level 6 Contributor","31 Helpful votes"
"Garrett P","ui_bubble_rating bubble_50","Date of experience: May 2018","This was my first time in this area of Europe so I took a day out before I drove the Romantic Road. I was not disappointed. The castle is beautiful. The interior of the castle is really interesting because each large room is dedicated to...More","Level 6 Contributor","35 Helpful votes"
"paulmO2855OB","ui_bubble_rating bubble_30","Date of experience: March 2019","The castle was amazing!! But the tour was trash. We barley saw any of the castle and the tour guides got mad because we took too long to look at stuff. Won’t be coming back due to the tour company in charge. If I pay...More","Level 3 Contributor","5 Helpful votes"
"An_Old_Burian","ui_bubble_rating bubble_20","Date of experience: February 2019","This is a massive castle but you only get to visit a small number of rooms in the tour - and that involves something like 100 steep steps both up and down...…..after you have undertaken a stiff walk up from the cafes (even if you...More","Level 6 Contributor","301 Helpful votes"
"Paivar","ui_bubble_rating bubble_50","Date of experience: November 2018","We went in the afternoon on an off peak day and it was very busy so I can imagine how bad it would be in peak! Parking was easy. We walked up to the bus line and caught that up the hill and walked back...More","Level 6 Contributor","34 Helpful votes"
